docstring,label,output Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch):      for i in range(len(s)):          if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     for i in range(len(s) - 1,-1,-1):           if (s[i] == ch):              s = s[0 : i] + s[i + 1:]              break     return s ","import re def remove_first_last(text,char):   text = re.sub(r""([a-z])([A-Z])([A-Z])"", text,text)   return (text)"
Write a python function to check whether the given two integers have opposite sign or not.,"def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ","def check_opposite_sign(test_list, n):
  res = all(x == n for x in test_list if x == n) and (x == n) and (x == n) and (x =="
Write a function to find the nth octagonal number.,"def is_octagonal(n): 
	return 3 * n * n - 2 * n ","def octagonal_number(n):
    octagonal_number = 0
    for i in range(n):
        octagonal_number += i
        octagonal_number"
Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.,"def max_len_sub( arr, n): 
	mls=[] 
	max = 0
	for i in range(n): 
		mls.append(1) 
	for i in range(n): 
		for j in range(i): 
			if (abs(arr[i] - arr[j]) <= 1 and mls[i] < mls[j] + 1): 
				mls[i] = mls[j] + 1
	for i in range(n): 
		if (max < mls[i]): 
			max = mls[i] 
	return max","def max_length(arr,n):
  res = 0
  for i in range(n):
      res += arr[i]
  return (res) "
Write a python function to count number of substrings with the sum of digits equal to their length.,"from collections import defaultdict
def count_Substrings(s,n):
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count","import math
def count_substring(s,n):
    count = math.sqrt(math.log10(n) / 2)
    return count"
Write a python function to find smallest number in a list.,"def smallest_num(xs):
  return min(xs)
","def find_smallest_number(list1):
  res = [0 for i in list1 if i % 2 == 0]
  return (res)"
Write a function to find the maximum difference between available pairs in the given tuple list.,"def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res) ","def max_difference(test_list, n):
  res = max(test_list[0] - 1, n)
  return (res) "
Write a function to sort a list of tuples using lambda.,"def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks","def sort_tuples(test_list):
  res = sorted(test_list, key = lambda x: x[0] <= y[1]):
  return (res) "
Write a function of recursion list sum.,"def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total","def recursion_sum(arr,n):
  res = [0 for i in range(n + 1)]
  return (res) "
Write a python function to count positive numbers in a list.,"def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count ","def count_positive(nums):
    count = 0
    for i in range(0,nums.count(i)):
        count += 1
    for j in range(i + 1,nums.count(i) - 1) :
        count += 1
        if (count % i == 0):
            count += 1
        count += 1
    return count"
Write a function to find the number of ways to partition a set of bell numbers.,"def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] ","def partition_bell(bells):
  res = [bells[0] for bells in bells]
  return (res) "
Write a python function to check whether the given array is monotonic or not.,"def is_Monotonic(A): 
    return (all(A[i] <= A[i + 1] for i in range(len(A) - 1)) or
            all(A[i] >= A[i + 1] for i in range(len(A) - 1))) ","def is_monotonic(arr):
  res = True
  if arr[0] == arr[1] :
      res = False
  return (res) "
Write a function to check whether a list contains the given sublist or not.,"def is_sublist(l, s):
	sub_set = False
	if s == []:
		sub_set = True
	elif s == l:
		sub_set = True
	elif len(s) > len(l):
		sub_set = False
	else:
		for i in range(len(l)):
			if l[i] == s[0]:
				n = 1
				while (n < len(s)) and (l[i+n] == s[n]):
					n += 1				
				if n == len(s):
					sub_set = True
	return sub_set","def contains_list(list1,sublist):
  res = list1.issubset(sublist)
  return (res) "
Write a function to find whether all the given tuples have equal length or not.,"def find_equal_tuple(Input, k):
  flag = 1
  for tuple in Input:
    if len(tuple) != k:
      flag = 0
      break
  return flag
def get_equal(Input, k):
  if find_equal_tuple(Input, k) == 1:
    return (""All tuples have same length"")
  else:
    return (""All tuples do not have same length"")","def equal_length(test_tup):
  res = all(test_tup == test_tup)
  return (res) "
Write a function to sort a list of elements using comb sort.,"def comb_sort(nums):
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums","def sort_list(list1):
  res = list(map(lambda x: x[0] == x[1]), list1))
  return (res) "
Write a python function to check whether the given number can be represented as difference of two squares or not.,"def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False","def is_difference(n): 
    if (n % 2 == 0): 
        return True
    return False"
Write a function to split the given string with multiple delimiters by using regex.,"import re
def multiple_split(text):
  return (re.split('; |, |\*|\n',text))","import re
def split_string(text):
  res = re.sub(r""([a-z0-9])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])"
Write a function to check whether it follows the sequence given in the patterns array.,"def is_samepatterns(colors, patterns):    
    if len(colors) != len(patterns):
        return False    
    sdict = {}
    pset = set()
    sset = set()    
    for i in range(len(patterns)):
        pset.add(patterns[i])
        sset.add(colors[i])
        if patterns[i] not in sdict.keys():
            sdict[patterns[i]] = []

        keys = sdict[patterns[i]]
        keys.append(colors[i])
        sdict[patterns[i]] = keys

    if len(pset) != len(sset):
        return False   

    for values in sdict.values():

        for i in range(len(values) - 1):
            if values[i] != values[i+1]:
                return False

    return True","def check_sequence(arr,n):
  res = True
  for i in range(n):
      res = False
  return (res) "
Write a function to find tuples which have all elements divisible by k from the given list of tuples.,"def find_tuples(test_list, K):
  res = [sub for sub in test_list if all(ele % K == 0 for ele in sub)]
  return (str(res)) ","def divisible_by_k(test_list, k):
  res = [test_list[k] for test_list in test_list if test_list[k] == test_list[k] ]
  return (res) "
Write a python function to count the number of squares in a rectangle.,"def count_Squares(m,n):
    if(n < m):
        temp = m
        m = n
        n = temp
    return ((m * (m + 1) * (2 * m + 1) / 6 + (n - m) * m * (m + 1) / 2))","def count_squares(r,n): 
    if (r > n): 
        return 1
    return 2"
Write a python function to find the difference between sum of even and odd digits.,"def is_Diff(n): 
    return (n % 11 == 0) ","def difference_odd(n): 
    sum = 0
    for i in range(1,n): 
        sum += i 
        if (sum % i == 0"
Write a python function to find number of integers with odd number of set bits.,"def count_With_Odd_SetBits(n): 
    if (n % 2 != 0): 
        return (n + 1) / 2
    count = bin(n).count('1') 
    ans = n / 2
    if (count % 2 != 0): 
        ans += 1
    return ans ","def odd_set_bits(n, bits):
    if (n % bits == 0):
        return 1
    return 2"
Write a python function to check whether the length of the word is odd or not.,"def word_len(s): 
    s = s.split(' ')   
    for word in s:    
        if len(word)%2!=0: 
            return True  
        else:
          return False","def is_odd(word):
  if (word[0] % 2 == 0):
    return True
  else:
    return False"
Write a function to find the nth tetrahedral number.,"def tetrahedral_number(n): 
	return (n * (n + 1) * (n + 2)) / 6","def tetrahedral_number(n):
  n = n + 1
  for i in range(n):
      if (n % i == 0):
      n = i + 1
      return n"
Write a function to zip the two given tuples.,"def zip_tuples(test_tup1, test_tup2):
  res = []
  for i, j in enumerate(test_tup1):
    res.append((j, test_tup2[i % len(test_tup2)])) 
  return (res) ","def zip_tuples(test_tup1, test_tup2):
  res = zip(test_tup1, test_tup2)
  return (res) "
Write a function to find the volume of a sphere.,"import math
def volume_sphere(r):
  volume=(4/3)*math.pi*r*r*r
  return volume","def volume(s,a):
  volume = a * a
  return volume"
Write a python function to find the character made by adding all the characters of the given string.,"def get_Char(strr):  
    summ = 0
    for i in range(len(strr)): 
        summ += (ord(strr[i]) - ord('a') + 1)  
    if (summ % 26 == 0): 
        return ord('z') 
    else: 
        summ = summ % 26
        return chr(ord('a') + summ - 1)","import re
def add_char(text):
  text = re.sub(r""([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])([A-Z])(["
Write a function to find the n-th number in newman conway sequence.,"def sequence(n): 
	if n == 1 or n == 2: 
		return 1
	else: 
		return sequence(sequence(n-1)) + sequence(n-sequence(n-1))","def find_N_th_conway(n,m):
  n = m + 1
  for i in range(m):
      if (n == m):
      return i
  else:
      return -1"
Write a function to find the surface area of a sphere.,"import math
def surfacearea_sphere(r):
  surfacearea=4*math.pi*r*r
  return surfacearea","def surface_area(sphere):
  area = sphere.get_surface_area(sphere.get_surface_area(sphere.get_surface_area(sphere.get_surface_area(sphere.get_surface_area(sphere))))
  return area"
Write a function to find nth centered hexagonal number.,"def centered_hexagonal_number(n):
  return 3 * n * (n - 1) + 1","def find_North_Hexagonal(n):
    n = n + 1
    for i in range(n):
        if (n % i == 0):
        return i
    return -1"
