id,description,md5,foxdog,hexdigits,lorem,punctuation,zebra
1104,"convert the string s to lowercase then removes all vowels from the string then replace spaces with triple spaces then drop the last half of the string, as computed by characters",c1707ab98493718d7c349b5554b35fd5,th   qck   brwn   fx   ,012345678,"lrm   psm   dlr   st   mt,   cnscttr   dpscng   lt,   sd   d   smd   tmpr   ncddnt   t   lbr   t   dlr   mgn   lq.   t   nm   d   mnm   vnm,   qs   nstrd   xrcttn   llmc   lbrs   ns   t   lqp   x      cmmd  ","!""#$%&'()*+,-./:",hw   qckly   dft  
1105,convert the string s to lowercase then removes all vowels from the string then replace spaces with triple spaces then make every other character in the string uppercase,821cca6d50a8229bd58391ce6ca74e04,Th   qCk   bRwN   Fx   jMpS   Vr      LzY   Dg!,0123456789BcDfBcDf,"LrM   PsM   DlR   St   mT,   cNsCtTr   dPsCnG   Lt,   Sd   d   sMd   tMpR   NcDdNt   t   lBr   t   dLr   mGn   lQ.   t   nM   D   MnM   VnM,   qS   NsTrD   XrCtTn   lLmC   LbRs   nS   T   LqP   X      cMmD   CnSqT.   dS   T   Rr   dLr   n   rPrHnDrT   N   VlPtT   VlT   Ss   cLlM   DlR      fGt   nLl   pRtR.   xCpTr   sNt   cCcT   CpDtT   Nn   pRdNt,   SnT   N   ClP   Q   FfC   DsRnT   MlLt   nM   D   St   lBrM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",Hw   qCkLy   dFt   jMpNg   zBrS   Vx!
1106,"convert the string s to lowercase then removes all vowels from the string then replace spaces with triple spaces then delete all excamation points, question marks, and periods from the string",15cafd7002ae83d41da9c539ca2104a3,th   qck   brwn   fx   jmps   vr      lzy   dg,0123456789bcdfbcdf,"lrm   psm   dlr   st   mt,   cnscttr   dpscng   lt,   sd   d   smd   tmpr   ncddnt   t   lbr   t   dlr   mgn   lq   t   nm   d   mnm   vnm,   qs   nstrd   xrcttn   llmc   lbrs   ns   t   lqp   x      cmmd   cnsqt   ds   t   rr   dlr   n   rprhndrt   n   vlptt   vlt   ss   cllm   dlr      fgt   nll   prtr   xcptr   snt   ccct   cpdtt   nn   prdnt,   snt   n   clp   q   ffc   dsrnt   mllt   nm   d   st   lbrm","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",hw   qckly   dft   jmpng   zbrs   vx
1107,convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then replace all spaces with exclamation points in the string,ddea7bad7019627e37a49d7565908a51,dg!!lzy!vr!jmps!fx!brwn!qck!th,0123456789bcdfbcdf,"lbrm?!st!d!nm!mllt!dsrnt!ffc!q!clp!n!snt!prdnt,!nn!cpdtt!ccct!snt!xcptr!prtr.!nll!fgt!dlr!cllm!ss!vlt!vlptt!n!rprhndrt!n!dlr!rr!t!ds!cnsqt.!cmmd!x!lqp!t!ns!lbrs!llmc!xrcttn!nstrd!qs!vnm,!mnm!d!nm!t!lq.!mgn!dlr!t!lbr!t!ncddnt!tmpr!smd!d!sd!lt,!dpscng!cnscttr!mt,!st!dlr!psm!lrm","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",vx!!zbrs!jmpng!dft!qckly!hw
1108,convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then remove the first and last two characters of the string,ff80dfc77f6bcbd32f8561806855b189,! lzy vr jmps fx brwn qck ,23456789bcdfbc,"rm? st d nm mllt dsrnt ffc q clp n snt prdnt, nn cpdtt ccct snt xcptr prtr. nll fgt dlr cllm ss vlt vlptt n rprhndrt n dlr rr t ds cnsqt. cmmd x lqp t ns lbrs llmc xrcttn nstrd qs vnm, mnm d nm t lq. mgn dlr t lbr t ncddnt tmpr smd d sd lt, dpscng cnscttr mt, st dlr psm l","#$%&'()*+,-./:;<=>?@[\]^_`{|",! zbrs jmpng dft qckly 
1109,convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then remove every third character from the string,d66b9d1e72c553744b801b66d74ee207,g!lz v jpsfxbrn ckth,124578bcfbdf,"br? t  n mltdsntff qcl nsn pdn, n pdt cc st cpr rt. llfg dr ll s vt lpt  rrhdr ndl r tdscnqt cmdx qpt s br lmcxrtt ntr q vm,mn dnmt q.mg dr  lr  nddt mp sd  s l, psngcnctr t,stdl pm rm","""#%&()+,./;<>?[\^_{|~",x!zbs mpg ftqclyhw
1110,"convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then drop the last half of the string, as computed by characters",5f1a13d6d56e62fd8a35a541d82b5fed,dg! lzy vr jmps,012345678,"lbrm? st d nm mllt dsrnt ffc q clp n snt prdnt, nn cpdtt ccct snt xcptr prtr. nll fgt dlr cllm ss vlt vlptt n rprhndrt n dlr rr t ds cnsqt","!""#$%&'()*+,-./:",vx! zbrs jmpn
1111,convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then replace spaces with triple spaces,0cf8e40cb04a9990ca091cfda14816b9,dg!   lzy   vr   jmps   fx   brwn   qck   th,0123456789bcdfbcdf,"lbrm?   st   d   nm   mllt   dsrnt   ffc   q   clp   n   snt   prdnt,   nn   cpdtt   ccct   snt   xcptr   prtr.   nll   fgt   dlr   cllm   ss   vlt   vlptt   n   rprhndrt   n   dlr   rr   t   ds   cnsqt.   cmmd   x   lqp   t   ns   lbrs   llmc   xrcttn   nstrd   qs   vnm,   mnm   d   nm   t   lq.   mgn   dlr   t   lbr   t   ncddnt   tmpr   smd   d   sd   lt,   dpscng   cnscttr   mt,   st   dlr   psm   lrm","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",vx!   zbrs   jmpng   dft   qckly   hw
1112,"convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then drop the first half of the string, as computed by number of words",fe9b8544e90848edb38ca8b4fdae2c2d,fx brwn qck th,0123456789bcdfbcdf,"cmmd x lqp t ns lbrs llmc xrcttn nstrd qs vnm, mnm d nm t lq. mgn dlr t lbr t ncddnt tmpr smd d sd lt, dpscng cnscttr mt, st dlr psm lrm","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",dft qckly hw
1113,convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then add the word apples after every word in the string,902f14707a70767a4cb5c5c5fdd5e48f,dg! apples lzy apples vr apples jmps apples fx apples brwn apples qck apples th apples,0123456789bcdfbcdf apples,"lbrm? apples st apples d apples nm apples mllt apples dsrnt apples ffc apples q apples clp apples n apples snt apples prdnt, apples nn apples cpdtt apples ccct apples snt apples xcptr apples prtr. apples nll apples fgt apples dlr apples cllm apples ss apples vlt apples vlptt apples n apples rprhndrt apples n apples dlr apples rr apples t apples ds apples cnsqt. apples cmmd apples x apples lqp apples t apples ns apples lbrs apples llmc apples xrcttn apples nstrd apples qs apples vnm, apples mnm apples d apples nm apples t apples lq. apples mgn apples dlr apples t apples lbr apples t apples ncddnt apples tmpr apples smd apples d apples sd apples lt, apples dpscng apples cnscttr apples mt, apples st apples dlr apples psm apples lrm apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",vx! apples zbrs apples jmpng apples dft apples qckly apples hw apples
1114,convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then make every other character in the string uppercase,9fe6e3d2aaac6fed572ffa044b28aeb6,Dg! LzY Vr jMpS Fx bRwN QcK Th,0123456789BcDfBcDf,"LbRm? St d nM MlLt dSrNt fFc q cLp n sNt pRdNt, Nn cPdTt cCcT SnT XcPtR PrTr. NlL FgT DlR ClLm sS VlT VlPtT N RpRhNdRt n dLr rR T Ds cNsQt. CmMd x lQp t nS LbRs lLmC XrCtTn nStRd qS VnM, mNm d nM T Lq. MgN DlR T LbR T NcDdNt tMpR SmD D Sd lT, dPsCnG CnScTtR Mt, St dLr pSm lRm","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",Vx! ZbRs jMpNg dFt qCkLy hW
1115,"convert the string s to lowercase then removes all vowels from the string then reverse the order of words in the string then delete all excamation points, question marks, and periods from the string",9e63e361f04f35a6898d2c80cac07e08,dg lzy vr jmps fx brwn qck th,0123456789bcdfbcdf,"lbrm st d nm mllt dsrnt ffc q clp n snt prdnt, nn cpdtt ccct snt xcptr prtr nll fgt dlr cllm ss vlt vlptt n rprhndrt n dlr rr t ds cnsqt cmmd x lqp t ns lbrs llmc xrcttn nstrd qs vnm, mnm d nm t lq mgn dlr t lbr t ncddnt tmpr smd d sd lt, dpscng cnscttr mt, st dlr psm lrm","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",vx zbrs jmpng dft qckly hw
1116,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then replace all spaces with exclamation points in the string",da0b0317da1c51ff018415c9173f5556,jmps!vr!lzy!dg!,0123456789bcdfbcdf,"cmmd!cnsqt.!ds!t!rr!dlr!n!rprhndrt!n!vlptt!vlt!ss!cllm!dlr!fgt!nll!prtr.!xcptr!snt!ccct!cpdtt!nn!prdnt,!snt!n!clp!q!ffc!dsrnt!mllt!nm!d!st!lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",jmpng!zbrs!vx!
1117,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then remove the first and last two characters of the string",be0e90c0d35f8d7f38a76b81816a74ea,ps vr lzy d,23456789bcdfbc,"md cnsqt. ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr fgt nll prtr. xcptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbr","#$%&'()*+,-./:;<=>?@[\]^_`{|",png zbrs v
1118,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then remove every third character from the string",9e5c0f1aad1e203a3287083e9ad1f12f,mp v ly g!,124578bcfbdf,mm csq. s  r dr  rrhdr nvlttvl s clmdl ft llprr.xctrsn cctcpttnnprnt st  cp  fc srt ll n dstlbm?,"""#%&()+,./;<>?[\^_{|~",mpg br v!
1119,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then drop the last half of the string, as computed by characters",13caad2f854497a98cf0800cff7f0d40,jmps vr,012345678,cmmd cnsqt. ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr fgt nll prtr.,"!""#$%&'()*+,-./:",jmpng z
1120,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then replace spaces with triple spaces",006eb9c6e7a8cb1e5ba03e2d30a87ed4,jmps   vr   lzy   dg!,0123456789bcdfbcdf,"cmmd   cnsqt.   ds   t   rr   dlr   n   rprhndrt   n   vlptt   vlt   ss   cllm   dlr   fgt   nll   prtr.   xcptr   snt   ccct   cpdtt   nn   prdnt,   snt   n   clp   q   ffc   dsrnt   mllt   nm   d   st   lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",jmpng   zbrs   vx!
1121,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then reverse the order of words in the string",9b1b2999aaa0c024a6a5c5f9de383bdb,dg! lzy vr jmps,0123456789bcdfbcdf,"lbrm? st d nm mllt dsrnt ffc q clp n snt prdnt, nn cpdtt ccct snt xcptr prtr. nll fgt dlr cllm ss vlt vlptt n rprhndrt n dlr rr t ds cnsqt. cmmd","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",vx! zbrs jmpng
1122,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then add the word apples after every word in the string",4063c2012db5a268b0ae2991b55d4c70,jmps apples vr apples lzy apples dg! apples,0123456789bcdfbcdf apples,"cmmd apples cnsqt. apples ds apples t apples rr apples dlr apples n apples rprhndrt apples n apples vlptt apples vlt apples ss apples cllm apples dlr apples fgt apples nll apples prtr. apples xcptr apples snt apples ccct apples cpdtt apples nn apples prdnt, apples snt apples n apples clp apples q apples ffc apples dsrnt apples mllt apples nm apples d apples st apples lbrm? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",jmpng apples zbrs apples vx! apples
1123,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then make every other character in the string uppercase",13d830fdb9e28456bb8917c030536d18,JmPs vR LzY Dg!,0123456789BcDfBcDf,"CmMd cNsQt. Ds t rR DlR N RpRhNdRt n vLpTt vLt sS ClLm dLr fGt nLl pRtR. xCpTr sNt cCcT CpDtT Nn pRdNt, SnT N ClP Q FfC DsRnT MlLt nM D St lBrM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",JmPnG ZbRs vX!
1124,"convert the string s to lowercase then removes all vowels from the string then drop the first half of the string, as computed by number of words then delete all excamation points, question marks, and periods from the string",107d8833348e5d5bb8506c5553ed7a4b,jmps vr lzy dg,0123456789bcdfbcdf,"cmmd cnsqt ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr fgt nll prtr xcptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbrm","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",jmpng zbrs vx
1125,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then remove all instances of the letter e from the string,4d1766d571910d6245cea12b611186ba,th appls qck appls brwn appls fx appls jmps appls vr appls lzy appls dg! appls,0123456789bcdfbcdf appls,"lrm appls psm appls dlr appls st appls mt, appls cnscttr appls dpscng appls lt, appls sd appls d appls smd appls tmpr appls ncddnt appls t appls lbr appls t appls dlr appls mgn appls lq. appls t appls nm appls d appls mnm appls vnm, appls qs appls nstrd appls xrcttn appls llmc appls lbrs appls ns appls t appls lqp appls x appls cmmd appls cnsqt. appls ds appls t appls rr appls dlr appls n appls rprhndrt appls n appls vlptt appls vlt appls ss appls cllm appls dlr appls fgt appls nll appls prtr. appls xcptr appls snt appls ccct appls cpdtt appls nn appls prdnt, appls snt appls n appls clp appls q appls ffc appls dsrnt appls mllt appls nm appls d appls st appls lbrm? appls","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ appls",hw appls qckly appls dft appls jmpng appls zbrs appls vx! appls
1126,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then replace all spaces with exclamation points in the string,ed172896eca24d4e65b9628b8f8e0bdb,th!apples!qck!apples!brwn!apples!fx!apples!jmps!apples!vr!apples!lzy!apples!dg!!apples,0123456789bcdfbcdf!apples,"lrm!apples!psm!apples!dlr!apples!st!apples!mt,!apples!cnscttr!apples!dpscng!apples!lt,!apples!sd!apples!d!apples!smd!apples!tmpr!apples!ncddnt!apples!t!apples!lbr!apples!t!apples!dlr!apples!mgn!apples!lq.!apples!t!apples!nm!apples!d!apples!mnm!apples!vnm,!apples!qs!apples!nstrd!apples!xrcttn!apples!llmc!apples!lbrs!apples!ns!apples!t!apples!lqp!apples!x!apples!cmmd!apples!cnsqt.!apples!ds!apples!t!apples!rr!apples!dlr!apples!n!apples!rprhndrt!apples!n!apples!vlptt!apples!vlt!apples!ss!apples!cllm!apples!dlr!apples!fgt!apples!nll!apples!prtr.!apples!xcptr!apples!snt!apples!ccct!apples!cpdtt!apples!nn!apples!prdnt,!apples!snt!apples!n!apples!clp!apples!q!apples!ffc!apples!dsrnt!apples!mllt!apples!nm!apples!d!apples!st!apples!lbrm?!apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~!apples",hw!apples!qckly!apples!dft!apples!jmpng!apples!zbrs!apples!vx!!apples
1127,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then remove the first and last two characters of the string,ad269cb1e7eb74b7d875d2814e3b098a, apples qck apples brwn apples fx apples jmps apples vr apples lzy apples dg! appl,23456789bcdfbcdf appl,"m apples psm apples dlr apples st apples mt, apples cnscttr apples dpscng apples lt, apples sd apples d apples smd apples tmpr apples ncddnt apples t apples lbr apples t apples dlr apples mgn apples lq. apples t apples nm apples d apples mnm apples vnm, apples qs apples nstrd apples xrcttn apples llmc apples lbrs apples ns apples t apples lqp apples x apples cmmd apples cnsqt. apples ds apples t apples rr apples dlr apples n apples rprhndrt apples n apples vlptt apples vlt apples ss apples cllm apples dlr apples fgt apples nll apples prtr. apples xcptr apples snt apples ccct apples cpdtt apples nn apples prdnt, apples snt apples n apples clp apples q apples ffc apples dsrnt apples mllt apples nm apples d apples st apples lbrm? appl","#$%&'()*+,-./:;<=>?@[\]^_`{|}~ appl", apples qckly apples dft apples jmpng apples zbrs apples vx! appl
1128,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then remove every third character from the string,283cde7dba87b466082f47f49b66f5f9,h ppesqc apls rw apls x ppesjms ppesvraple ly ppesdg apls,124578bcfbdfaple,"rmaple pm ppesdl apls t ppesmt apls nstt apls psngaple l, ppessdaple daple sd ppestmr ppesncdn apls  apls braple taple dr ppesmg apls q.aple taple n apls  apls nmaple vm,aple q apls std ppesxrtt apls lm apls br apls s ppest ppeslq apls  apls mm apls nst.aple d apls  apls r ppesdl apls  apls prndt ppesn ppesvlttaple vt ppesssaple clmaple dr ppesfg apls llaple ptr apls cpr ppessn apls cc apls pdt ppesnnaple pdn, ppessn apls  apls lpaple qaple fc ppesdsntaple mltaple n apls  apls t ppeslbm?aple","""#%&()+,./;<>?[\^_{|~ ppes",w ppesqclyaple dt ppesjmngaple zrsaple v! ppes
1129,"convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then drop the last half of the string, as computed by characters",534d2c04d03aa89b687ebf35f57fc253,th apples qck apples brwn apples fx apples ,0123456789bc,"lrm apples psm apples dlr apples st apples mt, apples cnscttr apples dpscng apples lt, apples sd apples d apples smd apples tmpr apples ncddnt apples t apples lbr apples t apples dlr apples mgn apples lq. apples t apples nm apples d apples mnm apples vnm, apples qs apples nstrd apples xrcttn apples llmc apples lbrs apples ns apples t apples lqp apples x apples cmmd appl","!""#$%&'()*+,-./:;<=",hw apples qckly apples dft apples 
1130,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then replace spaces with triple spaces,f7cf5020743e2353ee9d347423ac0c1d,th   apples   qck   apples   brwn   apples   fx   apples   jmps   apples   vr   apples   lzy   apples   dg!   apples,0123456789bcdfbcdf   apples,"lrm   apples   psm   apples   dlr   apples   st   apples   mt,   apples   cnscttr   apples   dpscng   apples   lt,   apples   sd   apples   d   apples   smd   apples   tmpr   apples   ncddnt   apples   t   apples   lbr   apples   t   apples   dlr   apples   mgn   apples   lq.   apples   t   apples   nm   apples   d   apples   mnm   apples   vnm,   apples   qs   apples   nstrd   apples   xrcttn   apples   llmc   apples   lbrs   apples   ns   apples   t   apples   lqp   apples   x   apples   cmmd   apples   cnsqt.   apples   ds   apples   t   apples   rr   apples   dlr   apples   n   apples   rprhndrt   apples   n   apples   vlptt   apples   vlt   apples   ss   apples   cllm   apples   dlr   apples   fgt   apples   nll   apples   prtr.   apples   xcptr   apples   snt   apples   ccct   apples   cpdtt   apples   nn   apples   prdnt,   apples   snt   apples   n   apples   clp   apples   q   apples   ffc   apples   dsrnt   apples   mllt   apples   nm   apples   d   apples   st   apples   lbrm?   apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~   apples",hw   apples   qckly   apples   dft   apples   jmpng   apples   zbrs   apples   vx!   apples
1131,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then reverse the order of words in the string,560ee1534dabdfc02ed6fb4445c650b5,apples dg! apples lzy apples vr apples jmps apples fx apples brwn apples qck apples th,apples 0123456789bcdfbcdf,"apples lbrm? apples st apples d apples nm apples mllt apples dsrnt apples ffc apples q apples clp apples n apples snt apples prdnt, apples nn apples cpdtt apples ccct apples snt apples xcptr apples prtr. apples nll apples fgt apples dlr apples cllm apples ss apples vlt apples vlptt apples n apples rprhndrt apples n apples dlr apples rr apples t apples ds apples cnsqt. apples cmmd apples x apples lqp apples t apples ns apples lbrs apples llmc apples xrcttn apples nstrd apples qs apples vnm, apples mnm apples d apples nm apples t apples lq. apples mgn apples dlr apples t apples lbr apples t apples ncddnt apples tmpr apples smd apples d apples sd apples lt, apples dpscng apples cnscttr apples mt, apples st apples dlr apples psm apples lrm","apples !""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",apples vx! apples zbrs apples jmpng apples dft apples qckly apples hw
1132,"convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then drop the first half of the string, as computed by number of words",8fe61e3985368dc4ad28c301607021d6,jmps apples vr apples lzy apples dg! apples,apples,"apples cnsqt. apples ds apples t apples rr apples dlr apples n apples rprhndrt apples n apples vlptt apples vlt apples ss apples cllm apples dlr apples fgt apples nll apples prtr. apples xcptr apples snt apples ccct apples cpdtt apples nn apples prdnt, apples snt apples n apples clp apples q apples ffc apples dsrnt apples mllt apples nm apples d apples st apples lbrm? apples",apples,jmpng apples zbrs apples vx! apples
1133,convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then make every other character in the string uppercase,a05072ae9414e9bc6f4c0389619f518e,Th aPpLeS QcK ApPlEs bRwN ApPlEs fX ApPlEs jMpS ApPlEs vR ApPlEs lZy aPpLeS Dg! ApPlEs,0123456789BcDfBcDf aPpLeS,"LrM ApPlEs pSm aPpLeS DlR ApPlEs sT ApPlEs mT, aPpLeS CnScTtR ApPlEs dPsCnG ApPlEs lT, aPpLeS Sd aPpLeS D ApPlEs sMd aPpLeS TmPr aPpLeS NcDdNt aPpLeS T ApPlEs lBr aPpLeS T ApPlEs dLr aPpLeS MgN ApPlEs lQ. aPpLeS T ApPlEs nM ApPlEs d aPpLeS MnM ApPlEs vNm, ApPlEs qS ApPlEs nStRd aPpLeS XrCtTn aPpLeS LlMc aPpLeS LbRs aPpLeS Ns aPpLeS T ApPlEs lQp aPpLeS X ApPlEs cMmD ApPlEs cNsQt. ApPlEs dS ApPlEs t aPpLeS Rr aPpLeS DlR ApPlEs n aPpLeS RpRhNdRt aPpLeS N ApPlEs vLpTt aPpLeS VlT ApPlEs sS ApPlEs cLlM ApPlEs dLr aPpLeS FgT ApPlEs nLl aPpLeS PrTr. ApPlEs xCpTr aPpLeS SnT ApPlEs cCcT ApPlEs cPdTt aPpLeS Nn aPpLeS PrDnT, aPpLeS SnT ApPlEs n aPpLeS ClP ApPlEs q aPpLeS FfC ApPlEs dSrNt aPpLeS MlLt aPpLeS Nm aPpLeS D ApPlEs sT ApPlEs lBrM? aPpLeS","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ aPpLeS",Hw aPpLeS QcKlY ApPlEs dFt aPpLeS JmPnG ApPlEs zBrS ApPlEs vX! aPpLeS
1134,"convert the string s to lowercase then removes all vowels from the string then add the word apples after every word in the string then delete all excamation points, question marks, and periods from the string",18bd80c62402ddd2297bf2221d5d1e91,th apples qck apples brwn apples fx apples jmps apples vr apples lzy apples dg apples,0123456789bcdfbcdf apples,"lrm apples psm apples dlr apples st apples mt, apples cnscttr apples dpscng apples lt, apples sd apples d apples smd apples tmpr apples ncddnt apples t apples lbr apples t apples dlr apples mgn apples lq apples t apples nm apples d apples mnm apples vnm, apples qs apples nstrd apples xrcttn apples llmc apples lbrs apples ns apples t apples lqp apples x apples cmmd apples cnsqt apples ds apples t apples rr apples dlr apples n apples rprhndrt apples n apples vlptt apples vlt apples ss apples cllm apples dlr apples fgt apples nll apples prtr apples xcptr apples snt apples ccct apples cpdtt apples nn apples prdnt, apples snt apples n apples clp apples q apples ffc apples dsrnt apples mllt apples nm apples d apples st apples lbrm apples","""#$%&'()*+,-/:;<=>@[\]^_`{|}~ apples",hw apples qckly apples dft apples jmpng apples zbrs apples vx apples
1135,convert the string s to lowercase then removes all vowels from the string then make every other character in the string uppercase then remove every third character from the string,f078077e71b0a0b30c328c0c3363d3b1,h CkbRN x Mp V  zYDg,124578BcfBDf,"rMPs DR t T,cNCtr PsnGLt S dsM tpRNcdN tlB tdL mn Q.t M  MM nM q NTr XCtn Lm LRsnST qPX cMD nST.dST r Lrn PrnDT  VPt VT s Ll DR fG nl Rt. Cpr NtcCT pDT n Rdt,Sn NCl QFf DRn MLtnMD t Br?","""#%&()+,./;<>?[\^_{|~",w Cky FtjMNgzBS x!
1136,convert the string s to lowercase then removes all vowels from the string then make every other character in the string uppercase then reverse the order of words in the string,416d5c2c764c1edde65e2ee250a47336,Dg! LzY Vr jMpS Fx bRwN qCk Th,0123456789BcDfBcDf,"lBrM? St D nM MlLt DsRnT FfC Q ClP N SnT pRdNt, Nn CpDtT cCcT sNt xCpTr pRtR. nLl fGt DlR cLlM Ss VlT VlPtT N rPrHnDrT n dLr Rr T dS CnSqT. cMmD X LqP T nS LbRs lLmC XrCtTn NsTrD qS VnM, MnM D nM t lQ. mGn dLr t lBr t NcDdNt tMpR sMd d Sd Lt, dPsCnG cNsCtTr mT, St DlR PsM LrM","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",Vx! zBrS jMpNg dFt qCkLy Hw
1137,"convert the string s to lowercase then removes all vowels from the string then make every other character in the string uppercase then drop the first half of the string, as computed by number of words",3be7b140db1b7f66990968f5340b0a6f,jMpS Vr LzY Dg!,0123456789BcDfBcDf,"cMmD CnSqT. dS T Rr dLr n rPrHnDrT N VlPtT VlT Ss cLlM DlR fGt nLl pRtR. xCpTr sNt cCcT CpDtT Nn pRdNt, SnT N ClP Q FfC DsRnT MlLt nM D St lBrM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",jMpNg zBrS Vx!
1138,convert the string s to lowercase then removes all vowels from the string then make every other character in the string uppercase then add the word apples after every word in the string,f9f992a9f0230960ce6b7152d232aa41,Th apples qCk apples bRwN apples Fx apples jMpS apples Vr apples LzY apples Dg! apples,0123456789BcDfBcDf apples,"LrM apples PsM apples DlR apples St apples mT, apples cNsCtTr apples dPsCnG apples Lt, apples Sd apples d apples sMd apples tMpR apples NcDdNt apples t apples lBr apples t apples dLr apples mGn apples lQ. apples t apples nM apples D apples MnM apples VnM, apples qS apples NsTrD apples XrCtTn apples lLmC apples LbRs apples nS apples T apples LqP apples X apples cMmD apples CnSqT. apples dS apples T apples Rr apples dLr apples n apples rPrHnDrT apples N apples VlPtT apples VlT apples Ss apples cLlM apples DlR apples fGt apples nLl apples pRtR. apples xCpTr apples sNt apples cCcT apples CpDtT apples Nn apples pRdNt, apples SnT apples N apples ClP apples Q apples FfC apples DsRnT apples MlLt apples nM apples D apples St apples lBrM? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",Hw apples qCkLy apples dFt apples jMpNg apples zBrS apples Vx! apples
1139,"convert the string s to lowercase then removes all vowels from the string then make every other character in the string uppercase then delete all excamation points, question marks, and periods from the string",b4fd984b537289064ebd3d8274cf763d,Th qCk bRwN Fx jMpS Vr  LzY Dg,0123456789BcDfBcDf,"LrM PsM DlR St mT, cNsCtTr dPsCnG Lt, Sd d sMd tMpR NcDdNt t lBr t dLr mGn lQ t nM D MnM VnM, qS NsTrD XrCtTn lLmC LbRs nS T LqP X  cMmD CnSqT dS T Rr dLr n rPrHnDrT N VlPtT VlT Ss cLlM DlR  fGt nLl pRtR xCpTr sNt cCcT CpDtT Nn pRdNt, SnT N ClP Q FfC DsRnT MlLt nM D St lBrM","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",Hw qCkLy dFt jMpNg zBrS Vx
