id,description,md5,foxdog,hexdigits,lorem,punctuation,whitespace,zebra
275,remove the first and last two characters of the string then reverse the order of words in the string then remove all instances of the letter e from the string,e503d626d0b357625f796d7bcbb9dea6,do lazy a ovr jumps fox brown quick ,23456789abcdfABCD,"laboru st id anim mollit dsrunt officia qui culpa in sunt proidnt, non cupidatat occacat sint Excptur pariatur. nulla fugiat u dolor cillum ss vlit voluptat in rprhndrit in dolor irur aut Duis consquat. commodo a x aliquip ut nisi laboris ullamco xrcitation nostrud quis vniam, minim ad nim Ut aliqua. magna dolor t labor ut incididunt tmpor iusmod do sd lit, adipiscing conscttur amt, sit dolor ipsum rm","#$%&'()*+,-./:;<=>?@[\]^_`{|",,v zbras jumping daft quickly w
276,remove the first and last two characters of the string then reverse the order of words in the string then replace all spaces with exclamation points in the string,4c1b471dcf001c7ea08a752a5ee5a058,do!lazy!a!over!jumps!fox!brown!quick!e,23456789abcdefABCD,"laboru!est!id!anim!mollit!deserunt!officia!qui!culpa!in!sunt!proident,!non!cupidatat!occaecat!sint!Excepteur!pariatur.!nulla!fugiat!eu!dolore!cillum!esse!velit!voluptate!in!reprehenderit!in!dolor!irure!aute!Duis!consequat.!commodo!ea!ex!aliquip!ut!nisi!laboris!ullamco!exercitation!nostrud!quis!veniam,!minim!ad!enim!Ut!aliqua.!magna!dolore!et!labore!ut!incididunt!tempor!eiusmod!do!sed!elit,!adipiscing!consectetur!amet,!sit!dolor!ipsum!rem","#$%&'()*+,-./:;<=>?@[\]^_`{|",,ve!zebras!jumping!daft!quickly!w
277,remove the first and last two characters of the string then reverse the order of words in the string then removes all vowels from the string,e3c3e9acf18b29bda0c6790f6fda1543,d lzy  vr jmps fx brwn qck ,23456789bcdfBCD,"lbr st d nm mllt dsrnt ffc q clp n snt prdnt, nn cpdtt ccct snt xcptr prtr. nll fgt  dlr cllm ss vlt vlptt n rprhndrt n dlr rr t Ds cnsqt. cmmd  x lqp t ns lbrs llmc xrcttn nstrd qs vnm, mnm d nm t lq. mgn dlr t lbr t ncddnt tmpr smd d sd lt, dpscng cnscttr mt, st dlr psm rm","#$%&'()*+,-./:;<=>?@[\]^_`{|",,v zbrs jmpng dft qckly w
278,remove the first and last two characters of the string then reverse the order of words in the string then remove every third character from the string,d7742b6a6304cd4820ca5ef4623f0da5,o az aovr ums oxbrwnqucke,34679acdfACD,"abrues i aimmoli dseun ofiiaqu clp i sntpridnt nn updaatocaeatsit xcpturpaiaur nll fgit u olrecilu eseveitvoupat i rprhedeitindoorirreaue ui cnsqut.comoo a x liui u nsilaors llmc eerittin osru qisveia, inm d ni U aiqa.manadoor e lboe t ncdiun tmpr iumo d sd li, diisin cnscttu aet st olr psm em",$%'(*+-.:;=>@[]^`{,,e ebasjupig af qiclyw
279,"remove the first and last two characters of the string then reverse the order of words in the string then drop the last half of the string, as computed by characters",56dba3e0ea3cbb39c211930fb23b3acb,do lazy a over jump,23456789a,"laboru est id anim mollit deserunt officia qui culpa in sunt proident, non cupidatat occaecat sint Excepteur pariatur. nulla fugiat eu dolore cillum esse velit voluptate in reprehenderit in dolor irure aute Duis consequa","#$%&'()*+,-./:",,ve zebras jumpin
280,remove the first and last two characters of the string then reverse the order of words in the string then replace spaces with triple spaces,7d25feca5be368813da5ccaa382a21b2,do   lazy   a   over   jumps   fox   brown   quick   e,23456789abcdefABCD,"laboru   est   id   anim   mollit   deserunt   officia   qui   culpa   in   sunt   proident,   non   cupidatat   occaecat   sint   Excepteur   pariatur.   nulla   fugiat   eu   dolore   cillum   esse   velit   voluptate   in   reprehenderit   in   dolor   irure   aute   Duis   consequat.   commodo   ea   ex   aliquip   ut   nisi   laboris   ullamco   exercitation   nostrud   quis   veniam,   minim   ad   enim   Ut   aliqua.   magna   dolore   et   labore   ut   incididunt   tempor   eiusmod   do   sed   elit,   adipiscing   consectetur   amet,   sit   dolor   ipsum   rem","#$%&'()*+,-./:;<=>?@[\]^_`{|",,ve   zebras   jumping   daft   quickly   w
281,"remove the first and last two characters of the string then reverse the order of words in the string then drop the first half of the string, as computed by number of words",0f6b1085c23615d01900bcc8c5c66fca,jumps fox brown quick e,23456789abcdefABCD,"commodo ea ex aliquip ut nisi laboris ullamco exercitation nostrud quis veniam, minim ad enim Ut aliqua. magna dolore et labore ut incididunt tempor eiusmod do sed elit, adipiscing consectetur amet, sit dolor ipsum rem","#$%&'()*+,-./:;<=>?@[\]^_`{|",,daft quickly w
282,remove the first and last two characters of the string then reverse the order of words in the string then add the word apples after every word in the string,6ee366058e7c63912597708b751e6778,do apples lazy apples a apples over apples jumps apples fox apples brown apples quick apples e apples,23456789abcdefABCD apples,"laboru apples est apples id apples anim apples mollit apples deserunt apples officia apples qui apples culpa apples in apples sunt apples proident, apples non apples cupidatat apples occaecat apples sint apples Excepteur apples pariatur. apples nulla apples fugiat apples eu apples dolore apples cillum apples esse apples velit apples voluptate apples in apples reprehenderit apples in apples dolor apples irure apples aute apples Duis apples consequat. apples commodo apples ea apples ex apples aliquip apples ut apples nisi apples laboris apples ullamco apples exercitation apples nostrud apples quis apples veniam, apples minim apples ad apples enim apples Ut apples aliqua. apples magna apples dolore apples et apples labore apples ut apples incididunt apples tempor apples eiusmod apples do apples sed apples elit, apples adipiscing apples consectetur apples amet, apples sit apples dolor apples ipsum apples rem apples","#$%&'()*+,-./:;<=>?@[\]^_`{| apples",,ve apples zebras apples jumping apples daft apples quickly apples w apples
283,remove the first and last two characters of the string then reverse the order of words in the string then make every other character in the string uppercase,4092c0053d931bdfa3582e35d566c0d6,Do lAzY A OvEr jUmPs fOx bRoWn qUiCk e,23456789AbCdEfABCD,"LaBoRu eSt iD AnIm mOlLiT DeSeRuNt oFfIcIa qUi cUlPa iN SuNt pRoIdEnT, nOn cUpIdAtAt oCcAeCaT SiNt EXcEpTeUr pArIaTuR. nUlLa fUgIaT Eu dOlOrE CiLlUm eSsE VeLiT VoLuPtAtE In rEpReHeNdErIt iN DoLoR IrUrE AuTe DUiS CoNsEqUaT. cOmMoDo eA Ex aLiQuIp uT NiSi lAbOrIs uLlAmCo eXeRcItAtIoN NoStRuD QuIs vEnIaM, mInIm aD EnIm UT AlIqUa. MaGnA DoLoRe eT LaBoRe uT InCiDiDuNt tEmPoR EiUsMoD Do sEd eLiT, aDiPiScInG CoNsEcTeTuR AmEt, SiT DoLoR IpSuM ReM","#$%&'()*+,-./:;<=>?@[\]^_`{|",,Ve zEbRaS JuMpInG DaFt qUiCkLy w
284,"remove the first and last two characters of the string then reverse the order of words in the string then delete all excamation points, question marks, and periods from the string",696abaf6a936de20beebe56d67566b9b,do lazy a over jumps fox brown quick e,23456789abcdefABCD,"laboru est id anim mollit deserunt officia qui culpa in sunt proident, non cupidatat occaecat sint Excepteur pariatur nulla fugiat eu dolore cillum esse velit voluptate in reprehenderit in dolor irure aute Duis consequat commodo ea ex aliquip ut nisi laboris ullamco exercitation nostrud quis veniam, minim ad enim Ut aliqua magna dolore et labore ut incididunt tempor eiusmod do sed elit, adipiscing consectetur amet, sit dolor ipsum rem","#$%&'()*+,-/:;<=>@[\]^_`{|",,ve zebras jumping daft quickly w
285,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then remove all instances of the letter e from the string",bffdb0d4e56fed104d81ce118538d0dd,jumps ovr a lazy do,23456789abcdfABCD,"commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",,jumping zbras v
286,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then replace all spaces with exclamation points in the string",6fcb5cfda9650d851790a8e87fc1abd2,jumps!over!a!lazy!do,23456789abcdefABCD,"commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",,jumping!zebras!ve
287,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then removes all vowels from the string",266d5e777c9b49fc519a6abba4ca35e4,jmps vr  lzy d,23456789bcdfBCD,"cmmd cnsqt. Ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr  fgt nll prtr. xcptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbr","#$%&'()*+,-./:;<=>?@[\]^_`{|",,jmpng zbrs v
288,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then remove every third character from the string",d01d5898de3d582e95ac7961a0a902ae,ums ve alay o,34679acdfACD,omod cnsqut.Dus ut iur dlo i rprhedeitinvoupat vli esecilu dloe u ugatnulapaiaur Eceter in ocaca cpiatt onpridnt sntincupaqu ofiiadeerntmoli aimides lbou,$%'(*+-.:;=>@[]^`{,,umin zbrs e
289,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then drop the last half of the string, as computed by characters",cf21516197a9400093592b641dca0ad9,jumps over,23456789a,commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla par,"#$%&'()*+,-./:",,jumping 
290,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then replace spaces with triple spaces",3ab341970c004833f460959e3744b4fb,jumps   over   a   lazy   do,23456789abcdefABCD,"commodo   consequat.   Duis   aute   irure   dolor   in   reprehenderit   in   voluptate   velit   esse   cillum   dolore   eu   fugiat   nulla   pariatur.   Excepteur   sint   occaecat   cupidatat   non   proident,   sunt   in   culpa   qui   officia   deserunt   mollit   anim   id   est   laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",,jumping   zebras   ve
291,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then reverse the order of words in the string",23d26433150b2ee4b7f591cbfdf26f7c,do lazy a over jumps,23456789abcdefABCD,"laboru est id anim mollit deserunt officia qui culpa in sunt proident, non cupidatat occaecat sint Excepteur pariatur. nulla fugiat eu dolore cillum esse velit voluptate in reprehenderit in dolor irure aute Duis consequat. commodo","#$%&'()*+,-./:;<=>?@[\]^_`{|",,ve zebras jumping
292,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then add the word apples after every word in the string",37ad36e644fe41929185b018978a05e7,jumps apples over apples a apples lazy apples do apples,23456789abcdefABCD apples,"commodo apples consequat. apples Duis apples aute apples irure apples dolor apples in apples reprehenderit apples in apples voluptate apples velit apples esse apples cillum apples dolore apples eu apples fugiat apples nulla apples pariatur. apples Excepteur apples sint apples occaecat apples cupidatat apples non apples proident, apples sunt apples in apples culpa apples qui apples officia apples deserunt apples mollit apples anim apples id apples est apples laboru apples","#$%&'()*+,-./:;<=>?@[\]^_`{| apples",,jumping apples zebras apples ve apples
293,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then make every other character in the string uppercase",ec9d9abc90112dba5a34ea2d3976c79b,JuMpS OvEr a lAzY Do,23456789AbCdEfABCD,"CoMmOdO CoNsEqUaT. DUiS AuTe iRuRe dOlOr iN RePrEhEnDeRiT In vOlUpTaTe vElIt eSsE CiLlUm dOlOrE Eu fUgIaT NuLlA PaRiAtUr. ExCePtEuR SiNt oCcAeCaT CuPiDaTaT NoN PrOiDeNt, SuNt iN CuLpA QuI OfFiCiA DeSeRuNt mOlLiT AnIm iD EsT LaBoRu","#$%&'()*+,-./:;<=>?@[\]^_`{|",,JuMpInG ZeBrAs vE
294,"remove the first and last two characters of the string then drop the first half of the string, as computed by number of words then delete all excamation points, question marks, and periods from the string",fe6501629d1732001002684a2a5a68a6,jumps over a lazy do,23456789abcdefABCD,"commodo consequat Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laboru","#$%&'()*+,-/:;<=>@[\]^_`{|",,jumping zebras ve
295,remove the first and last two characters of the string then add the word apples after every word in the string then remove all instances of the letter e from the string,de15f04edc3b9360afbebeb4e943ecb3, appls quick appls brown appls fox appls jumps appls ovr appls a appls lazy appls do appls,23456789abcdfABCD appls,"rm appls ipsum appls dolor appls sit appls amt, appls conscttur appls adipiscing appls lit, appls sd appls do appls iusmod appls tmpor appls incididunt appls ut appls labor appls t appls dolor appls magna appls aliqua. appls Ut appls nim appls ad appls minim appls vniam, appls quis appls nostrud appls xrcitation appls ullamco appls laboris appls nisi appls ut appls aliquip appls x appls a appls commodo appls consquat. appls Duis appls aut appls irur appls dolor appls in appls rprhndrit appls in appls voluptat appls vlit appls ss appls cillum appls dolor appls u appls fugiat appls nulla appls pariatur. appls Excptur appls sint appls occacat appls cupidatat appls non appls proidnt, appls sunt appls in appls culpa appls qui appls officia appls dsrunt appls mollit appls anim appls id appls st appls laboru appls","#$%&'()*+,-./:;<=>?@[\]^_`{| appls",,w appls quickly appls daft appls jumping appls zbras appls v appls
296,remove the first and last two characters of the string then add the word apples after every word in the string then replace all spaces with exclamation points in the string,8ee09332ccc333e02c34c0b066f25f81,e!apples!quick!apples!brown!apples!fox!apples!jumps!apples!over!apples!a!apples!lazy!apples!do!apples,23456789abcdefABCD!apples,"rem!apples!ipsum!apples!dolor!apples!sit!apples!amet,!apples!consectetur!apples!adipiscing!apples!elit,!apples!sed!apples!do!apples!eiusmod!apples!tempor!apples!incididunt!apples!ut!apples!labore!apples!et!apples!dolore!apples!magna!apples!aliqua.!apples!Ut!apples!enim!apples!ad!apples!minim!apples!veniam,!apples!quis!apples!nostrud!apples!exercitation!apples!ullamco!apples!laboris!apples!nisi!apples!ut!apples!aliquip!apples!ex!apples!ea!apples!commodo!apples!consequat.!apples!Duis!apples!aute!apples!irure!apples!dolor!apples!in!apples!reprehenderit!apples!in!apples!voluptate!apples!velit!apples!esse!apples!cillum!apples!dolore!apples!eu!apples!fugiat!apples!nulla!apples!pariatur.!apples!Excepteur!apples!sint!apples!occaecat!apples!cupidatat!apples!non!apples!proident,!apples!sunt!apples!in!apples!culpa!apples!qui!apples!officia!apples!deserunt!apples!mollit!apples!anim!apples!id!apples!est!apples!laboru!apples","#$%&'()*+,-./:;<=>?@[\]^_`{|!apples",,w!apples!quickly!apples!daft!apples!jumping!apples!zebras!apples!ve!apples
297,remove the first and last two characters of the string then add the word apples after every word in the string then removes all vowels from the string,d8d126eebf3b50a8e92143e19e2a128d, ppls qck ppls brwn ppls fx ppls jmps ppls vr ppls  ppls lzy ppls d ppls,23456789bcdfBCD ppls,"rm ppls psm ppls dlr ppls st ppls mt, ppls cnscttr ppls dpscng ppls lt, ppls sd ppls d ppls smd ppls tmpr ppls ncddnt ppls t ppls lbr ppls t ppls dlr ppls mgn ppls lq. ppls t ppls nm ppls d ppls mnm ppls vnm, ppls qs ppls nstrd ppls xrcttn ppls llmc ppls lbrs ppls ns ppls t ppls lqp ppls x ppls  ppls cmmd ppls cnsqt. ppls Ds ppls t ppls rr ppls dlr ppls n ppls rprhndrt ppls n ppls vlptt ppls vlt ppls ss ppls cllm ppls dlr ppls  ppls fgt ppls nll ppls prtr. ppls xcptr ppls snt ppls ccct ppls cpdtt ppls nn ppls prdnt, ppls snt ppls n ppls clp ppls q ppls ffc ppls dsrnt ppls mllt ppls nm ppls d ppls st ppls lbr ppls","#$%&'()*+,-./:;<=>?@[\]^_`{| ppls",,w ppls qckly ppls dft ppls jmpng ppls zbrs ppls v ppls
298,remove the first and last two characters of the string then add the word apples after every word in the string then remove every third character from the string,1e1d76d72681ffc67a2bfb56a4a59619, apls uik ppesbrwnaple fx ppesjupsaple oeraple aaple lzyaple d apls,34679acdfACDaple,"emaple isu apls olr ppessi apls me, ppescoseteuraple aipscngaple eit apls edaple d apls iumo apls emoraple iciidntaple u apls abreaple e apls olreaple mgn apls liua apls t ppesenm ppesadaple mni apls enam apls ui apls osru apls xeciatonaple ulacoaple lboisaple nsiaple u apls liui apls x ppeseaaple cmmdoaple cnsqut.aple Disaple ateaple iur apls olr ppesinaple rprhedeitaple i apls olptteaple vli apls ss apls ilumaple dloe ppeseuaple fgit ppesnulaaple pritu. ppesExepeu apls in apls ccect ppescuidta apls onaple poien, ppessut ppesinaple clp apls uiaple ofiiaaple dseun apls olitaple aimaple i apls staple lbou ppes",$%'(*+-.:;=>@[]^`{ apls,, apls uikl apls af apls umin apls ebasaple v apls
299,"remove the first and last two characters of the string then add the word apples after every word in the string then drop the last half of the string, as computed by characters",00c9724706ae909ec567a6ef395e4d0c,e apples quick apples brown apples fox apples jump,23456789abcd,"rem apples ipsum apples dolor apples sit apples amet, apples consectetur apples adipiscing apples elit, apples sed apples do apples eiusmod apples tempor apples incididunt apples ut apples labore apples et apples dolore apples magna apples aliqua. apples Ut apples enim apples ad apples minim apples veniam, apples quis apples nostrud apples exercitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples ex apples ea apples commodo apple","#$%&'()*+,-./:;<=",,w apples quickly apples daft apples j
300,remove the first and last two characters of the string then add the word apples after every word in the string then replace spaces with triple spaces,7be6f172a71e797989d7a140a11c8a57,e   apples   quick   apples   brown   apples   fox   apples   jumps   apples   over   apples   a   apples   lazy   apples   do   apples,23456789abcdefABCD   apples,"rem   apples   ipsum   apples   dolor   apples   sit   apples   amet,   apples   consectetur   apples   adipiscing   apples   elit,   apples   sed   apples   do   apples   eiusmod   apples   tempor   apples   incididunt   apples   ut   apples   labore   apples   et   apples   dolore   apples   magna   apples   aliqua.   apples   Ut   apples   enim   apples   ad   apples   minim   apples   veniam,   apples   quis   apples   nostrud   apples   exercitation   apples   ullamco   apples   laboris   apples   nisi   apples   ut   apples   aliquip   apples   ex   apples   ea   apples   commodo   apples   consequat.   apples   Duis   apples   aute   apples   irure   apples   dolor   apples   in   apples   reprehenderit   apples   in   apples   voluptate   apples   velit   apples   esse   apples   cillum   apples   dolore   apples   eu   apples   fugiat   apples   nulla   apples   pariatur.   apples   Excepteur   apples   sint   apples   occaecat   apples   cupidatat   apples   non   apples   proident,   apples   sunt   apples   in   apples   culpa   apples   qui   apples   officia   apples   deserunt   apples   mollit   apples   anim   apples   id   apples   est   apples   laboru   apples","#$%&'()*+,-./:;<=>?@[\]^_`{|   apples",,w   apples   quickly   apples   daft   apples   jumping   apples   zebras   apples   ve   apples
301,remove the first and last two characters of the string then add the word apples after every word in the string then reverse the order of words in the string,e9485b538bedae92a3857774a2d62fb5,apples do apples lazy apples a apples over apples jumps apples fox apples brown apples quick apples e,apples 23456789abcdefABCD,"apples laboru apples est apples id apples anim apples mollit apples deserunt apples officia apples qui apples culpa apples in apples sunt apples proident, apples non apples cupidatat apples occaecat apples sint apples Excepteur apples pariatur. apples nulla apples fugiat apples eu apples dolore apples cillum apples esse apples velit apples voluptate apples in apples reprehenderit apples in apples dolor apples irure apples aute apples Duis apples consequat. apples commodo apples ea apples ex apples aliquip apples ut apples nisi apples laboris apples ullamco apples exercitation apples nostrud apples quis apples veniam, apples minim apples ad apples enim apples Ut apples aliqua. apples magna apples dolore apples et apples labore apples ut apples incididunt apples tempor apples eiusmod apples do apples sed apples elit, apples adipiscing apples consectetur apples amet, apples sit apples dolor apples ipsum apples rem","apples #$%&'()*+,-./:;<=>?@[\]^_`{|",,apples ve apples zebras apples jumping apples daft apples quickly apples w
302,"remove the first and last two characters of the string then add the word apples after every word in the string then drop the first half of the string, as computed by number of words",9673f6cbc348b24f439fe1c87f893ecc,apples over apples a apples lazy apples do apples,apples,"apples consequat. apples Duis apples aute apples irure apples dolor apples in apples reprehenderit apples in apples voluptate apples velit apples esse apples cillum apples dolore apples eu apples fugiat apples nulla apples pariatur. apples Excepteur apples sint apples occaecat apples cupidatat apples non apples proident, apples sunt apples in apples culpa apples qui apples officia apples deserunt apples mollit apples anim apples id apples est apples laboru apples",apples,,jumping apples zebras apples ve apples
303,remove the first and last two characters of the string then add the word apples after every word in the string then make every other character in the string uppercase,f397f68369a1264afef2090fbfadb151,E ApPlEs qUiCk aPpLeS BrOwN ApPlEs fOx aPpLeS JuMpS ApPlEs oVeR ApPlEs a aPpLeS LaZy aPpLeS Do aPpLeS,23456789AbCdEfABCD aPpLeS,"ReM ApPlEs iPsUm aPpLeS DoLoR ApPlEs sIt aPpLeS AmEt, ApPlEs cOnSeCtEtUr aPpLeS AdIpIsCiNg aPpLeS ElIt, ApPlEs sEd aPpLeS Do aPpLeS EiUsMoD ApPlEs tEmPoR ApPlEs iNcIdIdUnT ApPlEs uT ApPlEs lAbOrE ApPlEs eT ApPlEs dOlOrE ApPlEs mAgNa aPpLeS AlIqUa. ApPlEs UT ApPlEs eNiM ApPlEs aD ApPlEs mInIm aPpLeS VeNiAm, ApPlEs qUiS ApPlEs nOsTrUd aPpLeS ExErCiTaTiOn aPpLeS UlLaMcO ApPlEs lAbOrIs aPpLeS NiSi aPpLeS Ut aPpLeS AlIqUiP ApPlEs eX ApPlEs eA ApPlEs cOmMoDo aPpLeS CoNsEqUaT. aPpLeS DuIs aPpLeS AuTe aPpLeS IrUrE ApPlEs dOlOr aPpLeS In aPpLeS RePrEhEnDeRiT ApPlEs iN ApPlEs vOlUpTaTe aPpLeS VeLiT ApPlEs eSsE ApPlEs cIlLuM ApPlEs dOlOrE ApPlEs eU ApPlEs fUgIaT ApPlEs nUlLa aPpLeS PaRiAtUr. ApPlEs EXcEpTeUr aPpLeS SiNt aPpLeS OcCaEcAt aPpLeS CuPiDaTaT ApPlEs nOn aPpLeS PrOiDeNt, ApPlEs sUnT ApPlEs iN ApPlEs cUlPa aPpLeS QuI ApPlEs oFfIcIa aPpLeS DeSeRuNt aPpLeS MoLlIt aPpLeS AnIm aPpLeS Id aPpLeS EsT ApPlEs lAbOrU ApPlEs","#$%&'()*+,-./:;<=>?@[\]^_`{| aPpLeS",,W ApPlEs qUiCkLy aPpLeS DaFt aPpLeS JuMpInG ApPlEs zEbRaS ApPlEs vE ApPlEs
304,"remove the first and last two characters of the string then add the word apples after every word in the string then delete all excamation points, question marks, and periods from the string",23152802e5c7a7dca884c7b993e5f2dd,e apples quick apples brown apples fox apples jumps apples over apples a apples lazy apples do apples,23456789abcdefABCD apples,"rem apples ipsum apples dolor apples sit apples amet, apples consectetur apples adipiscing apples elit, apples sed apples do apples eiusmod apples tempor apples incididunt apples ut apples labore apples et apples dolore apples magna apples aliqua apples Ut apples enim apples ad apples minim apples veniam, apples quis apples nostrud apples exercitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples ex apples ea apples commodo apples consequat apples Duis apples aute apples irure apples dolor apples in apples reprehenderit apples in apples voluptate apples velit apples esse apples cillum apples dolore apples eu apples fugiat apples nulla apples pariatur apples Excepteur apples sint apples occaecat apples cupidatat apples non apples proident, apples sunt apples in apples culpa apples qui apples officia apples deserunt apples mollit apples anim apples id apples est apples laboru apples","#$%&'()*+,-/:;<=>@[\]^_`{| apples",,w apples quickly apples daft apples jumping apples zebras apples ve apples
305,remove the first and last two characters of the string then make every other character in the string uppercase then remove all instances of the letter e from the string,724f6bb8922852413ccdc56e9b48d08b,E QuIcK BrOwN FoX JuMpS OvEr a lAzY Do,23456789AbCdEfABCD,"RM IpSuM DoLoR SiT AmEt, CoNsEcTTuR AdIpIsCiNg LiT, sEd dO EiUsMoD TMpOr iNcIdIdUnT Ut lAbOrE Et dOlOrE MaGnA AlIqUa. Ut NiM Ad mInIm vEnIaM, qUiS NoStRuD ExErCiTaTiOn uLlAmCo lAbOrIs nIsI Ut aLiQuIp X Ea cOmMoDo cOnSQuAt. DuIs aUtE IrUrE DoLoR In rEpRHNdErIt iN VoLuPtAtE VLiT EsS cIlLuM DoLoR U FuGiAt nUlLa pArIaTuR. EXcEpTUr sInT OcCaEcAt cUpIdAtAt nOn pRoIdEnT, sUnT In cUlPa qUi oFfIcIa dEsErUnT MoLlIt aNiM Id St lAbOrU","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",W QuIcKlY DaFt jUmPiNg zEbRaS V
306,remove the first and last two characters of the string then make every other character in the string uppercase then removes all vowels from the string,a38f76d1d9e467b526ec7b8ef15f2835, QcK BrwN FX JMpS vr  lzY D,23456789bCdfBCD,"RM pSM DLR ST mt, CNscTTR dpsCNg LT, sd d sMD TMpr NcddnT t lbr t dlr MGn lq. t NM d mnm vnM, qS NStRD xrCTTn LlmC lbrs ns t LQp X  cmMD cnSQt. Ds t rr DLR n rpRHNdrt N VLPtt VLT sS clLM DLR  FGt nlL prTR. XcpTr snT cCct cpdtt nn pRdnT, snT n clP q Ffc dsrnT MLlt NM d St lbr","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",W QcKlY DFt jmPNg zbRS V
307,remove the first and last two characters of the string then make every other character in the string uppercase then remove every third character from the string,7641a58948d26b4a04924039257f3079, QIc BOw FX uMS vE alAY o,34679ACdfACD,"eMIpuMDooRSi AEt CNscTTu AIpsCNgeLT,sE d EUsoDTepO icIIdnTUtlAOr E dlOE aGA lIUa U eiMAdmIImvEIa, Ui NStuDExrCTaiO ulAColAOrs Is U aiQIpeXEacOMoo OneQAt DIsaUE rUE oLR n EpeHNdrI i VLutAE eLT sS clLM oLReeUFuiA nlL prITu. XcpTUrsIT cCEct UpdAAtnO poIEn, Un I clP qi FfcI dsEUn MLlt Ni I et AbrU",$%'(*+-.:;=>@[]^`{,"", QIclYDat UmiN zbRS e
308,remove the first and last two characters of the string then make every other character in the string uppercase then reverse the order of words in the string,ef3f3407ad7c4bf0ebad7e63c6d72523,Do lAzY a OvEr JuMpS FoX BrOwN QuIcK E,23456789AbCdEfABCD,"lAbOrU eSt Id aNiM MoLlIt dEsErUnT oFfIcIa qUi cUlPa In sUnT pRoIdEnT, nOn cUpIdAtAt OcCaEcAt sInT EXcEpTeUr pArIaTuR. nUlLa FuGiAt eU DoLoRe cIlLuM EsSe VeLiT VoLuPtAtE iN rEpReHeNdErIt In DoLoR IrUrE aUtE DuIs cOnSeQuAt. cOmMoDo Ea eX aLiQuIp Ut nIsI lAbOrIs uLlAmCo ExErCiTaTiOn NoStRuD qUiS vEnIaM, mInIm Ad eNiM Ut AlIqUa. MaGnA dOlOrE Et lAbOrE Ut iNcIdIdUnT TeMpOr EiUsMoD dO sEd eLiT, AdIpIsCiNg CoNsEcTeTuR AmEt, SiT DoLoR IpSuM ReM","#$%&'()*+,-./:;<=>?@[\]^_`{|",,Ve zEbRaS jUmPiNg DaFt QuIcKlY W
309,"remove the first and last two characters of the string then make every other character in the string uppercase then drop the first half of the string, as computed by number of words",0ce3262e43bf6445aa6a27f2f1a108fd,JuMpS OvEr a lAzY Do,23456789AbCdEfABCD,"cOmMoDo cOnSeQuAt. DuIs aUtE IrUrE DoLoR In rEpReHeNdErIt iN VoLuPtAtE VeLiT EsSe cIlLuM DoLoRe eU FuGiAt nUlLa pArIaTuR. EXcEpTeUr sInT OcCaEcAt cUpIdAtAt nOn pRoIdEnT, sUnT In cUlPa qUi oFfIcIa dEsErUnT MoLlIt aNiM Id eSt lAbOrU","#$%&'()*+,-./:;<=>?@[\]^_`{|",,jUmPiNg zEbRaS Ve
